n Total FFT Non-FFT
1 0.834 0.0667 0.7672
2 0.4382 0.05255 0.3857
4 0.2839 0.05393 0.2299
8 0.1676 0.05184 0.1157
16 0.1064 0.05067 0.05571
32 0.0749 0.04415 0.03076
64 0.05431 0.03258 0.02173
